chercheur,chercheur_id,Titre_publication,Auteurs,nombre_pages,Type,Lien,Volumes,Journal,date_publication,Publisher,Conference
bousbia nabila,01,Analysis of Students' Emotions in an Online Learning Environment,Amal Bensba and Naima Ahmim and Chahnez Zakaria and Nabila Bousbia,1-7,conference,https://doi.org/10.1109/ICAASE56196.2022.9931587,None,None,2022,IEEE,"International Conference on Advanced Aspects of Software Engineering, ICAASE 2022, Constantine, Algeria, September 17-18, 2022"
bousbia nabila,01,"Exploiting the progress of OO refactoring tools with Android code smells: RAndroid, a plugin for Android studio",Abderraouf Gattal and Abir Hammache and Nabila Bousbia and Adel Nassim Henniche,1580-1583,conference,https://doi.org/10.1145/3412841.3442129,None,None,2021,ACM,"SAC '21: The 36th ACM/SIGAPP Symposium on Applied Computing, Virtual Event, Republic of Korea, March 22-26, 2021"
bousbia nabila,01,Adapting eSpeak to Arabic language: converting Arabic text to speech language using eSpeak,Taha Zerrouki and Mohammed M. Abu Shquier and Amar Balla and Nabila Bousbia and Imededdine Sakraoui and Fateh Boudardara,76-89,journal,https://doi.org/10.1504/IJRIS.2019.098056,11,Int. J. Reason. based Intell. Syst,2019,,
bousbia nabila,01,Sniffing Android code smells: an association rules mining-based approach,Jehan Rubin and Adel Nassim Henniche and Naouel Moha and Mohamed Bouguessa and Nabila Bousbia,123-127,conference,https://doi.org/10.1109/MOBILESoft.2019.00025,None,None,2019,IEEE / ACM,"Proceedings of the 6th International Conference on Mobile Software Engineering and Systems, MOBILESoft@ICSE 2019, Montreal, QC, Canada, May 25, 2019"
bousbia nabila,01,A Semantic Analysis of the Learner's Disorientation,Samia Ait Adda and Nabila Bousbia and Amar Balla,10-18,journal,https://doi.org/10.3991/ijet.v11i06.5234,11,Int. J. Emerg. Technol. Learn,2016,,
bousbia nabila,01,Adaptation Based on Navigation Type and Learning Style,Nabila Bousbia and Amina Gheffar and Amar Balla,23-31,conference,https://doi.org/10.1007/978-3-662-46315-4_3,None,None,2013,Springer,"Advances in Web-Based Learning - ICWL 2013 Workshops - USL 2013, IWSLL 2013, KMEL 2013, IWCWL 2013, WIL 2013, and IWEEC 2013, Kenting, Taiwan, October 6-9, 2013, Revised Selected Papers"
bousbia nabila,01,ESITrace: A User Side Trace and Annotation Collection Tool,Abdelmoumene Louifi and Nabila Bousbia and Faiçal Azouaou and Fodil Merzoug,49-58,conference,https://doi.org/10.1007/978-3-662-43454-3_6,None,None,2012,Springer,"New Horizons in Web Based Learning - ICWL 2011 International Workshops, KMEL, ELSM, and SPeL, Hong Kong, December 8-10, 2011, ICWL 2012 International Workshops, KMEL, SciLearn, and CCSTED,Sinaia, Romania, September 2-4, 2012. Revised Selected Papers"
bousbia nabila,01,Supervised classification on navigational behaviours in web-based learning systems to identify learning styles,Nabila Bousbia and Jean-Marc Labat and Amar Balla and Issam Rebaï,24-45,journal,https://doi.org/10.1504/IJLT.2011.040148,6,Int. J. Learn. Technol,2011,,
bousbia nabila,01,An Open Learning Environment based on Generic Course,Amar Balla and Nabila Bousbia,231-236,conference,None,None,None,2011,SciTePress,"CSEDU 2011 - Proceedings of the 3rd International Conference on Computer Supported Education, Volume 1, Noordwijkerhout, Netherlands, 6-8 May, 2011"
bousbia nabila,01,Learners' navigation behavior identification based on trace analysis,Nabila Bousbia and Issam Rebaï and Jean-Marc Labat and Amar Balla,455-494,journal,https://doi.org/10.1007/s11257-010-9081-5,20,User Model. User Adapt. Interact,2010,,
bousbia nabila,01,Analyzing Learning Styles using Behavioral Indicators in Web based Learning Environments,Nabila Bousbia and Jean-Marc Labat and Amar Balla and Issam Rebaï,279-280,conference,http://educationaldatamining.org/EDM2010/uploads/proc/edm2010_submission_24.pdf,None,None,2010,www.educationaldatamining.org,"Educational Data Mining 2010, The 3rd International Conference on Educational Data Mining, Pittsburgh, PA, USA, June 11-13, 2010. Proceedings"
bousbia nabila,01,Indicators for Deducting the Learners' Learning Styles: Case of the Navigation Typology Indicator,Nabila Bousbia and Jean-Marc Labat and Issam Rebaï and Amar Balla,385-389,conference,https://doi.org/10.1109/ICALT.2009.220,None,None,2009,IEEE Computer Society,"The 9th IEEE International Conference on Advanced Learning Technologies, ICALT 2009, Riga, Latvia, July 15-17, 2009"
bousbia nabila,01,Measuring the learners' learning style based on tracks analysis in web based learning,Nabila Bousbia and Amar Balla and Issam Rebaï,98-103,conference,https://doi.org/10.1109/ISCC.2009.5202282,None,None,2009,IEEE Computer Society,"Proceedings of the 14th IEEE Symposium on Computers and Communications (ISCC 2009), July 5-8, Sousse, Tunisia"
bousbia nabila,01,Detection of Learning Styles from Learner's Browsing Behavior During E-Learning Activities,Nabila Bousbia and Jean-Marc Labat and Amar Balla,740-742,conference,https://doi.org/10.1007/978-3-540-69132-7_95,None,None,2008,Springer,"Intelligent Tutoring Systems, 9th International Conference, ITS 2008, Montreal, Canada, June 23-27, 2008, Proceedings"
